offset,IA,IB,IC,IN,VA,VB,VC,VN
174,-1290949,-1287049,-1289649,-1290949,-11760844,-11771318,-11766081,-11681245
175,-1375452,-1372202,-1374802,-1375452,-12534846,-12545319,-12539035,-12450009
176,-1409253,-1406003,-1408603,-1409903,-12843818,-12855339,-12849055,-12756887
177,-1387802,-1383902,-1387152,-1387802,-12653198,-12664719,-12658435,-12568361
178,-1315650,-1311750,-1314350,-1315000,-11992311,-12003832,-11997548,-11909570
179,-1193445,-1190195,-1192795,-1193445,-10882106,-10891533,-10886296,-10807743
180,-1018589,-1015339,-1017289,-1018589,-9283830,-9293256,-9290114,-9222035
181,-811881,-809931,-810581,-812531,-7405907,-7413239,-7411144,-7355634
182,-564222,-562272,-562922,-564222,-5140460,-5146744,-5145697,-5104850
183,-305512,-304212,-304212,-306162,-2784940,-2790177,-2791224,-2767135
184,-36402,-35102,-35102,-37052,-324683,-327825,-330967,-323636
185,248309,248309,249609,247659,2269636,2267541,2263352,2253926
186,509619,509619,510919,508969,4652388,4652388,4646104,4620967
187,752078,751428,753378,750778,6866514,6867561,6859182,6819383
188,976336,975686,978286,975686,8915157,8917252,8907825,8855457
189,1153143,1151843,1155093,1151843,10527049,10531239,10519718,10454781
190,1287048,1285098,1288348,1285098,11749322,11753512,11741991,11670770
191,1375451,1373501,1376751,1374151,12564171,12568360,12555792,12479334
192,1408602,1406652,1409902,1407302,12860575,12865812,12853243,12773644
193,1387801,1386501,1389102,1386501,12679381,12683570,12673097,12593497
194,1311749,1309799,1313049,1309799,11986026,11990216,11978695,11903285
195,1188894,1187594,1190194,1187594,10865347,10869537,10858016,10792032
196,1021838,1021188,1023788,1020538,9342481,9345623,9335150,9278592
197,805380,804730,806680,804080,7372390,7373438,7365059,7321070
198,569421,568771,570721,568121,5213775,5214822,5207490,5178164
199,311361,311361,312661,310061,2861396,2859302,2854065,2840449
200,28601,29251,29901,27951,279646,276503,273361,277551
201,-242460,-241160,-241160,-243110,-2191085,-2195274,-2197369,-2176422
202,-504419,-503119,-503119,-505069,-4579073,-4585357,-4585357,-4548700
203,-759229,-755979,-757929,-759229,-6903173,-6910504,-6908410,-6857089
204,-973737,-969837,-972437,-973737,-8853363,-8861742,-8858600,-8793664
205,-1150544,-1147293,-1149244,-1150544,-10474682,-10484108,-10479919,-10403461
206,-1290949,-1287049,-1289649,-1290949,-11760844,-11771318,-11763986,-11681245
207,-1375452,-1372202,-1373502,-1375452,-12535893,-12546367,-12540083,-12451057
208,-1409253,-1406003,-1408603,-1409253,-12844865,-12856386,-12851149,-12758981
209,-1387802,-1384552,-1387152,-1387802,-12655293,-12665766,-12659482,-12569409
210,-1315650,-1312400,-1314350,-1315650,-11996501,-12006975,-12000690,-11913759
211,-1186295,-1183695,-1184995,-1186945,-10820312,-10829738,-10824501,-10746996
212,-1018589,-1015989,-1017939,-1018589,-9286972,-9296398,-9292209,-9225177
213,-813181,-809931,-811231,-812531,-7409049,-7416381,-7414286,-7358776
214,-564872,-562272,-563572,-564872,-5146744,-5153028,-5151981,-5112181
215,-306162,-304862,-304862,-306162,-2789129,-2793319,-2794366,-2770277
216,-37052,-35752,-35752,-37702,-330967,-333062,-336204,-327825
217,247659,248309,248959,246359,2264399,2263352,2259162,2249736
218,508969,508969,510919,508969,4649246,4649246,4641914,4616777
219,751428,750778,753378,750778,6863372,6865467,6856040,6816241
220,976336,975686,977636,975036,8910967,8914109,8904683,8850220
221,1152493,1151843,1155093,1151193,10526002,10530191,10518670,10452686
222,1286398,1285098,1288348,1285098,11748275,11752464,11740943,11669723
223,1376101,1373501,1376751,1373501,12563124,12567313,12555792,12478287
224,1408602,1406652,1409902,1406652,12860575,12864764,12852196,12772596
225,1387801,1385851,1389102,1386501,12681476,12686712,12674144,12595592
226,1311749,1309799,1312399,1310449,11986026,11990216,11978695,11903285
227,1188894,1187594,1190194,1187594,10869537,10871632,10861158,10795174
228,1022488,1021188,1023788,1020538,9345623,9347718,9338292,9281734
229,806030,805380,807330,804730,7376580,7378675,7369248,7326307
230,569421,569421,571371,568771,5219011,5219011,5211680,5182354
231,311361,312011,312661,310711,2865586,2864538,2859302,2845686
232,29251,29901,29901,27951,283835,280693,277551,281740
233,-242460,-241160,-241160,-243110,-2186895,-2190037,-2192132,-2171185
234,-503769,-502469,-503119,-505069,-4575931,-4582215,-4581168,-4545558
235,-758579,-755979,-757279,-758579,-6900031,-6907362,-6905267,-6853947
236,-973087,-970487,-971137,-973737,-8851269,-8859648,-8856505,-8791569
237,-1158344,-1155094,-1157044,-1158344,-10544855,-10554282,-10550092,-10473635
238,-1290299,-1287049,-1289649,-1290299,-11758749,-11769223,-11763986,-11679150
239,-1375452,-1371552,-1373502,-1375452,-12532751,-12544272,-12537988,-12447915
240,-1409903,-1406003,-1408603,-1409903,-12849055,-12860576,-12853244,-12762124
241,-1387802,-1385202,-1387152,-1387802,-12658435,-12668908,-12662624,-12571503
242,-1315650,-1311750,-1314350,-1315650,-11996501,-12005927,-12000690,-11914807
243,-1186945,-1183695,-1185645,-1186945,-10823454,-10832880,-10827643,-10749091
244,-1019239,-1016639,-1017939,-1019239,-9290114,-9298493,-9295351,-9227272
245,-813181,-809931,-811881,-813181,-7415333,-7421618,-7419523,-7364013
246,-564872,-562922,-563572,-565522,-5150934,-5155123,-5155123,-5115323
247,-306812,-305512,-305512,-307462,-2793319,-2797508,-2798556,-2774466
248,-37702,-36402,-36402,-38352,-335157,-337252,-340394,-332015
249,247659,248309,248309,245709,2260210,2260210,2254973,2245547
250,508969,508969,510269,508319,4642961,4644009,4637725,4611541
251,751428,750778,752728,749478,6858135,6861277,6852898,6813098
252,975686,975036,977636,974386,8907825,8910967,8901541,8848126
253,1152493,1151193,1153793,1151193,10523907,10528096,10517623,10451639
254,1285748,1285098,1287698,1284448,11747227,11751417,11739896,11667628
255,1375451,1373501,1376751,1374151,12563124,12567313,12555792,12478287
256,1408602,1406652,1409902,1407302,12860575,12864764,12853243,12772596
257,1388452,1385851,1389102,1386501,12680428,12685665,12672049,12593497
258,1312399,1310449,1313049,1310449,11988121,11992310,11980789,11906427
259,1189544,1188244,1190844,1187594,10871632,10874774,10865347,10797269
260,1022488,1021838,1024438,1021838,9350860,9354002,9343528,9286971
261,806680,805380,807980,805380,7379722,7380769,7372390,7328401
262,570071,570071,571371,569421,5222153,5221106,5213775,5185496
